job,work_type,job_details
Dot net developer,On-site,"About the job Job Role : .net DeveloperExp : 2 to 4 YrsJob Location: PuneJob Type: WFO Requirements:Core Skills:Strong experience of Dot Net Framework 4.0 and above (Core is good to have)Strong knowledge of OOPS ConceptExcellent understanding of C#.Net is must haveASP.NET 4.0 and above (Core is good to have)Good knowledge of LINQDemonstrated design using Web Services (SOAP and REST)Knowledge of Microservices, APIs using ASP.NET MVC WEB API is must haveKnowledge of Databases like MySQL, PostgreSQL, Oracle PL/SQL development etc is good to haveStrong coding skills, good analytical and problem-solving skillsExcellent understanding of website authentication, Identity Management, REST APIs, security and best practicesExcellent understanding of web servers like IIS Other Skills:UI Development experience in Javascript framework Angular or TypeScript is preferred.Good knowledge in JavaScript with fluency in jQuery, AJAX etc.Knowledge in HTML, CSS 3, Bootstrap layouts design is good to have. Responsibilities:Design, develop, test and debug software modules for an enterprise security productFind areas of optimization and produce high quality codeCollaborate with product managers and other members of the project team in requirements specification and detailed engineering analysis.Collaborate with various stake holders and help bring proactive closure on the issuesEvaluate various technology trends and bring in the best practicesInnovate and come out of the box solutionsAdapt, thrive and deliver in a highly evolving and demanding product development teamCome up with ways to provide an improved customer experience"
Vue.js Developer,On-site,"About the job Cloudium Software:Cloudium is a leading IT & business consulting company with offices in India & USA. We believe simple things can make a world of difference and today, we are edging forward with helping companies create their own competitive edge. Job brief:We are looking for a passionate Vue.js Developer to join our team!!Experience: 2+ YearsJob Type: Full Time (On-site)Notice Period: Immediate to 15 daysLocation: Infopark, CochinInterested candidates can share resumes to akshara.haridas@cloudium.io"
Sr Data Analyst,Hybrid,"About the job About UsAs a Fortune 50 company with more than 350,000 team members worldwide, Target is an iconic brand and one of America's leading retailers. Working at Target means the opportunity to help all families discover the joy of everyday life. Caring for our communities is woven into who we are, and we invest in the places we collectively live, work and play. We prioritize relationships, fuel, and develop talent by creating growth opportunities, and succeed as one Target team. At our core, our purpose is ingrained in who we are, what we value and how we work. It’s how we care, grow, and win together. About the OpportunityA role with Business team means being a part of the team that enables faster, smarter and more scalable decision-making to compete and win the modern retail market. Here, you’ll leverage data, statistics and visualization to create the actionable insights that deliver value across all Target functions. Our savvy reporting and analytics pros use market-leading tools and data automation to make a positive impact that’s felt across the business. If you’re an analyst who can work on autonomous teams, integrate the latest practices with your approach, write code to handle massive scale, simplify complex decisions by providing flexible, fast and sustainable decision-making solutions, then you’ll be successful here.As a Sr. Data Analyst you will support all business areas of Target with critical data analysis that helps team members make profitable decisions. Become a data expert or business analyst and utilize tools like decision trees, clustering, regression, time series, structural equation modeling, linear programming, SAS, SQL, VBA and OLAP. Use your skills, experience and talents to be a part of groundbreaking thinking and visionary goals. Interface with the Target business representatives and leaders to validate business requirements/requests for reporting solutions. Determine best methods in order to gather data and present information. Build reporting solutions to meet business needs. Communicate with project/team manager to share knowledge and findings. Document design and requirements for reporting solutions. Core responsibilities of this job are described within this job description. Job duties may change at any time due to business need.About You:5-10years of overall Industry experience with 4-6years in data eco systemProven hands-on experience with Domo, Tableau & other Visualization tools (incl homegrown platforms) and a deep understanding of core DW/BI conceptsStrong SQL or PL/SQL programming & Unix shell scripting skillsHands on experience in object oriented or functional programming such as Scala &/or Python or JavaShould have solid experience in Hadoop ecosystem and its components around writing programs using Map-Reduce, should have experience in developing Hive and Pig Scripts, should have experience in designing and developing Oozie workflowsGit source code managementExperience working in an agile environmentExposure to R, Python, Hive or other open source languagesUnderstanding of foundational mathematics and statisticsConceptual understanding of analytical techniques like Linear Regression, Logistic Regression, Time-series models, Classification Techniques, etc.Strong written and verbal communication skills to explain complex analytical methodologies to clients regardless of the clients technical expertiseAny experience with Retail, Merchandising, Marketing will be strong addonsB.Tech / B.E. or Masters in Statistics /Econometrics/Mathematics equivalent."
Frontend Mid Engineer with experience to Angular/JavaScript (3+ years of experience),On-site,"About the job Job Description Engineer, Chennai/Pune About This Job Our NielsenlQ Technology teams are working on our new Connected platform, a unified, global, open data ecosystem powered by Microsoft Azure. Our clients around the world rely on NielsenlQ's data and insights to innovate and grow. As an Engineer, you'll be part of a team of smart, highly skilled technologists who are passionate about learning and prototyping cutting-edge technologies. Right now our platform is based on Angular, Javascript, Typescript, HTML, CSS, and SQL and we continue to adopt the best of breed in cloud-native, low-latency technologies. We value Cl/CD in everything that we develop. Our team is co-located and agile, with central technology hubs in Chicago, Mexico City, Madrid, and Chennai. Responsibilities: Write complex, maintainable code in Java to develop scalable, flexible and user-friendly applicationsDesign and develop highly available, low latency, cloud-native Java applicationsIntegrate code into modern, automated testing and Cl/CD pipelinesLeverage multiple first- and third-party data sources and develop highly efficient data access RESTful APls against data stored in Relational and NoSQL databases Qualifications 3-7 years of relevant software engineering experienceMinimum B.S. degree in Computer Science, Computer Engineering, Information Technology or a related fieldWrite, test, document, and maintain codeStrong Object-Oriented ProgrammingWork with different applications and components based on a distributed environmentAnalytical and problem-solving skillsExperience working with databases, datasets, and filesUnit testingSQLAngular, JavascriptHTML, CSSShell scriptingJenkins, or devops toolsSource code control and branchingDocker, Kubernetes, or knowledge about containers and elasticity Additional Information About NielsenIQ NielsenIQ is a global measurement and data analytics company providing the most complete and trusted view of consumers and markets in 90 countries covering 90% of the world’s population. Focusing on consumer-packaged goods manufacturers and FMCG and retailers, we enable customers to defy what’s possible. How? We combine unparalleled datasets, pioneering technology, and the industry’s top talent to create insights that unlock innovation. Join us and change the landscape. Learn more at: www.niq.com Want to keep up with our latest updates? Follow us on: LinkedIn | Instagram | Twitter | Facebook Our commitment to Diversity, Equity, and Inclusion NielsenIQ is committed to reflecting the diversity of the clients, communities, and markets we measure within our own workforce. We exist to count everyone and are on a mission to systematically embed inclusion and diversity into all aspects of our workforce, measurement, and products. We enthusiastically invite candidates who share that mission to join us. We are proud to be an Equal Opportunity/Affirmative Action-Employer, making decisions without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, marital status, protected veteran status or any other protected class. Our global non-discrimination policy covers these protected classes in every market in which we do business worldwide. Learn more about how we are driving diversity and inclusion in everything we do by visiting the NielsenIQ News Center: https://nielseniq.com/global/en/news-center/diversity-inclusion/"
Staff Engineer,Hybrid,"About the job Hi Please find below JD for your reference. JD:Minimum Qualifications9-13 years of experience(GPU) Embedded SW systems, C programming language, RTOS (Real Time Operation Systems), strong Debugging skills required. Prior development experience in implementing/supporting Graphics driver for standards (OpenGL, Direct3D) is optional. Embedded software development of 3D graphics for compute & mobile devices. Will work with software, hardware, and systems teams to develop/support compliant and optimized DirectX/OpenGLES/Vulkan drivers Note: If interested, please share your updated resume to smonika@qti.qualcomm.com"
Python Developer,On-site,"About the job Technical Skills requiredKnowledge of pythonKnowledge of OOPSFamiliar with HTML/CSSBasic Fundamental of programmingUnderstanding of programming logicknowledge of Odoo is appreciativeBasic SkillsGood in CommunicationTeam adaptiveJob Details Experience: 1+Years Location: Ahmedabad, Gujrat, India Notice:This opportunity is in Ahmedabad, and it is work from the office. We are looking only for Gujarat candidates."
GCP Data Engineer,On-site,"About the job Company- LTIMindtreeExperience Required- 3 to 14 years.Location- Pune/Mumbai/Hyderabad/Chennai/Kolkata/Coimbatore/Bangalore Skills Required- GCP Cloud, Python, Dataflow, Big Query, Cloud SQL, Airflow Job Description-Looking for an IT professional who could play Developer role on GCP data engineering. Develop and implement -Dataflow, Datapro or other languages-based solution, job orchestration. Minimum 2 years development experience with any GCP Cloud ETLs and Databases. Strong understanding of Dataflow, Big Query, Cloud SQL, Airflow Excellent with Java Python and Google Cloud SDK & API Scripting Work with client teams to design and implement modern, scalable data solutions using a range of new and emerging technologies from the Google Cloud Platform. Work with Agile and DevOps technique s and implementation approaches in the delivery. Required to showcase your GCP Data engineering experience when communicating with clients on their requirements, turning these into technical data solutions. Required to build and deliver Data solutions using GCP products and offerings. Knowledge and understanding of DevOps."
Cloud Data Engineer,On-site,"About the job πby3 is a newly founded venture by by Industry veterans from Data and Cloud. With a multi-geography experience in implementations across many Fortune 500 clients, and tremendous opportunity in the market, PibyThree was formed to cater to specific areas in Data & Cloud. Our core strength is in:• Strategic Consulting on Cloud for leveraging Cloud to organizations advantage• Services in the niche Technologies of Data Analytics and Cloud (Snowflake, Matillion, Databricks, ADF, Azure Synapse, Hevodata)• Helping enterprises in Cloud Migration with our ready-to-go Offering (DataMig)• IT Automation using Ansible• App Modernization• FinOps For expansion of our team, we are looking for very strong Cloud Data Engineers. We have positions for Sr. Developer and Tech Leads to drive delivery projects. Must have Skills:1. Candidate should possess excellent Data Engineering skills2. Knowledge of ETL and ELT is mandatory3. Excellent interpersonal and communication skills4. Prior experience leading small teams of 4-8 resources 5. Ability to multitask6. Good hands-on on one of the tools: Snowflake, Matillion, Databricks, ADF, Fivetran, DBT Labs7. Sound know-how of Cloud is expected 8. Advanced SQL Skills are desired for the job9. Knowledge of programming in Python,Spark, Kafka will be an added advantage10. Ability to explore and learn newer technologies in short interval is needed11. Strong Data warehousing Skills. 12. Good in Data Modelling 13. End to end data warehouse design/implementation experience 14. Knowledge of AWS or Azure or GCP Good to have Skills:1. Data Visualization and reporting knowledge2. Knowledge of Synapse, Redshift or BigQuery Role/s: Cloud Data EngineerPosition: Team Lead / Sr. DeveloperEmployment: Full Time, PermanentLocation: Hinjewadi, Pune Send your resume to recruitment@pibythree.com with Subject line as ""Cloud Data Engineer""."
Customer Service Specialist,On-site,"About the job Service Support Specialist/ Customer service Representative Company: Sukoon Solutions an electric agriculture equipment manufacturer and engineering company Location: Ghaziabad Job Description:We are seeking a highly motivated and customer-focused Service Support Specialist to join our growing team. As a Service Support Specialist, you will play a critical role in providing exceptional customer service and support to our electric agriculture equipment owners. You will be responsible for managing customer inquiries, resolving technical issues, and ensuring customer satisfaction. If you are passionate about the electric vehicle industry and have the desire to work in a dynamic and fast-paced environment, we would love to hear from you. Responsibilities: Respond to customer inquiries via phone, email, and chat in a timely and professional mannerTroubleshoot technical issues and provide solutions to customersEscalate complex issues to technical specialists as neededMaintain accurate and up-to-date records of customer interactions and case resolution in our customer service databaseContinuously update your knowledge of our electric vehicle products and services to provide accurate information to customersProvide feedback to the company on customer satisfaction and areas for improvementEnsure all customer interactions are in compliance with company policies and proceduresRequirements: High school diploma or equivalent; associate or bachelor's degree preferred2+ years of experience in a customer service or technical support roleStrong interpersonal and communication skills, both verbal and writtenAbility to multitask and prioritize in a fast-paced environmentExcellent problem-solving and critical-thinking skillsKnowledge of electric vehicles and the automotive industry a plusFamiliarity with CRM software and technical support tools Sukoon Solutions is an equal opportunity employer and we value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. If you're interested in this exciting opportunity, please submit your resume and we will get back to you soon"
OTC-Collections,On-site,"About the job Order to Cash -CollectionsShifts-US ShiftExperience : 2 yrs to 6 yrs in Collections/OTC With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world’s biggest brands—and we have fun doing it. Now, we’re calling all you rule-breakers and risk-takers who see the world differently, and are bold enough to reinvent it. Come, transform with us. Inviting applications for the role of Collections We are looking for a Collections Representative who would be responsible for leading all collection and dispute resolution activities in accounts receivable and related settlement processes.ResponsibilitiesIn this role, you will be responsible for all the activities related to Cash & Collection domain.• This includes the collection of invoices and the management of all related processes dispute identification and resolution, account reconciliation, credit balance disposition, and unclaimed property administration.• The Debt Collector will effectively communicate and support the collection goals, while providing quality customer service as well as actively pursue knowledge of skills and tools to be used in all collection efforts.• Follow-up with various departments to get supporting documents/ info for dispute/deductions resolution• Ability to balance, trouble shoot, and resolve recurring or occasional bottlenecks• Effectively communicate and support the collection goals, while providing quality customer service as well as actively pursue knowledge of skills and tools to be used in all collection efforts.• Receive notification for reimbursement and perform acceptability analysis within threshold Qualifications we seek in you Minimum qualifications• B.Com GraduationPreferred Skill Set• Excellent Interpersonal Skills• Ability to learn ERP systems• Good analytical and problem-solving skills• Excellent MS Office skills including MS Excel• Good conceptual knowledge and experience in tax activities preferred Genpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. Genpact is committed to creating a dynamic work environment that values diversity and inclusion, respect and integrity, customer focus, and innovation. For more information, visit www.genpact.com. Follow us on Twitter, Facebook, LinkedIn, and YouTube."
Lead Java Software Engineer,Remote,"About the job We are looking for Java developers with strong knowledge AWS or react/only. We would be happy to consider your applications if you are willing to join EPAM Anywhere by 15 March 2023 inclusively. Applications with later onboarding dates will not be considered. We are looking for the candidates with 4+ years of experience. Are you a tech professional looking for remote work in a global setting? If yes, this job is for you. Welcome to EPAM Anywhere - a global job platform offering remote work opportunities in the technology sector. Join us to build a career around your lifestyle working on modern projects for global brands and exciting startups. We are currently looking for a remote Lead Software Engineer with 5+ years of Java experience, design patterns knowledge, familiarity with AWS to join our team. The customer is a Canadian designer, distributor and retailer of lifestyle inspired athletic apparel and accessories. The Company’s segments include Company-operated stores and direct to consumer. Responsibilities Capable of designing, building and testing new systems from the ground up with minimal supportCollaborates with local team and partner teamsConforms to quality standardsIdentifies performance issues and optimizes solutionTests all scenarios at the end-to-end solution levelApplies knowledge of security coding practices and/or secure system fundamentals (e.g. cross-site scripting, security certificates)Demonstrates working knowledge of instrumentationResponsible for full end-to-end solution and integration designInterprets security and compliance requirements and implementsConsistently applies Engineering patterns and practices to own work Requirements BS or MS in CS, Engineering or equivalent practical experience5+ years of professional experience in practice areaExperience with Java/Spring bootDesign patterns knowledgeFamiliarity with AWS (ec2, s3, sqs aka basics)Experience with DockerPostgreSQL - SQL experienceKnowledge of Agile methodologiesKnowledge of microservices architecture patternsExperience building web services and integrations with message driven architecture1+ year of relevant leadership experienceProficient English (written and spoken) B2 Nice to have Experience with KubernetesTerraform knowledgeExperience with CI/CDExperience with test frameworks We offer Insurance Coverage Paid Leaves – including maternity, bereavement, paternity, and special COVID-19 leaves. Financial assistance for medical crisis Retiral Benefits – VPF and NPS Customized Mindfulness and Wellness programs EPAM Hobby ClubsHybrid Work Model Soft loans to set up workspace at home Stable workload Relocation opportunities with ‘EPAM without Borders’ programCertification trainings for technical and soft skills Access to unlimited LinkedIn Learning platform Access to internal learning programs set up by world class trainers Community networking and idea creation platforms Mentorship programs Self-driven career progression tool This is a remote position and we welcome applications from anywhere in India Once you apply, you'll receive a confirmation email with a link to EPAM Anywhere platform. Sign up with this link to automate your prescreening, be able to monitor your application statuses, and enjoy a faster job application process. We accept CVs only in English. Please note that even though you are applying for this position, you may be offered other projects to join within EPAM Anywhere. EPAM Anywhere is a part of EPAM Systems, Inc. (NYSE: EPAM). Since 1993, EPAM has leveraged its advanced software engineering heritage to become the foremost global digital transformation services provider."
Angular Senior Developer (3+ yrs only),Hybrid,"About the job About Client:Our client is a global leader in next-generation digital services and consulting. Enabling clients in 45 countries to navigate their digital transformation. With over three decades of experience in managing the systems and workings of global enterprises, they expertly steer our clients through their digital journey. They do it by enabling the enterprise with an AI-powered core that helps prioritize the execution of change About the RoleRole Code: IN350Duration: 12 monthsLocation: Gurgaon, hybrid modeTimings: Full Time (As per company timings)Notice Period: 1 month or less (Immediate Joiner - Preferred) Primary Skill Set:Angular 8 Experts Deliverable:Strong programming skills (5+ Years) in modern Web Technology such as Angular 8, TypeScript, ag-grid,HTML5, CSS, d3.js, NodeJS, Webpack, Karma, Jasmine, etc.Good object-oriented knowledge and implementation experience using Java.Strong understanding of data modeling techniques Strong foundation in SDLC best practices including test driven development, unit testing discipline, agile development, and CI/CD strategies.Experience developing and working with any relational databases.Education: B.E, B. Tech, MCA, MSc (CS) or equivalent.Passion for engineering highly available, performant systems.Creativity and resourcefulness to solve independently.Curiosity and drive to learn new things and build new solutions.Strong communication, time management, organization, attention to detail. Experience:The ideal candidate for this position should have an experience of 3+ years.Ability to work independently and to adapt to a fast-changing environment.Creative, self-disciplined, and capable of identifying and completing critical tasks independently and with a sense of urgency."
Excellant Opportunities for DevSecOps Engineer,On-site,"About the job Key Technical Skills Hashicorp Vault Terraform Git and Gitlab runners AWS and Azure Shell Scripting Grafana Key tasks and responsibilities Implement security-compliant Vault development activities that conform both to customer requirements and IT security standards Implement the technology/development roadmap for the product by working with the Product Manager and Architect. Integration of different applications with Hashicorp Vault Proactive in the Integration implementation and development of the product (incl. Follow up with internal customers, checking compatibility of features for planned upgrades, implement integration into other applications and infrastructure components) Stage new features (Product Enhancements) and blueprints (Product Usage Guidelines/Scenarios) developed by the Architect Work with modern technologies to maintain one of the core IT security components of our Cloud infrastructure (Azure & AWS) Maintain and enhance infrastructure access policies & deployment standards Preserve Infrastructure monitoring, logging & alerting systems Sustain security monitoring of procedures & policies, implement prevention of malicious policy changes Continuously enhance the infrastructure automation to maintain, optimize and update the product Manage incidents in coordination with other roles with a focus on root cause analysis/technical evaluation & resolution Ensure that expected application quality attribute levels are achieved Release and Patch management maintenance for the product Requirements/Skills Study to university degree level natural sciences, computer science, business, or an equivalent education Experience with implementing and supporting solutions using AWS & Azure public cloud Substantial Knowledge In The Following Areas Deployment, integration, configuration & lifecycle management of Hashicorp Vault with IaaC based on Terraform and Packer Secure Setup of Infrastructure with AWS and Azure RBAC & ABAC in cross account/subscription setups Git commands and Linux shell scripts Hands On experience with CI/CD (e.g. Gitlab-CI, Jenkins) General programming / scripting experience in one or more language (e.g. Go, Java, Python and sometimes PowerShell) Prior knowledge/understanding of OAuth2 (+OIDC) based AuthN + AuthZ Logging & Monitoring: AWS Cloudwatch logs, Azure Log Analytics, Grafana, Prometheus & Alert manager Agile development experience and ability to use Jira and Confluence Fluency in written and spoken English Strong communication skills, customer orientation, intercultural competence, global mindset, solution orientation, willingness to learn and flexibility."
Senior Front-End Developer,Remote,"About the job We would be happy to consider your applications if you are willing to join EPAM Anywhere by 15 March 2023 inclusively. Applications with later onboarding dates will not be considered. We are looking for the candidates with 4+ years of experience. Are you a tech professional looking for remote work in a global setting? If yes, this job is for you. Welcome to EPAM Anywhere - a global job platform offering remote work opportunities in the technology sector. Join us to build a career around your lifestyle working on modern projects for global brands and exciting startups. Currently, we are looking for a Remote Senior Front-End Developer to join our team. Responsibilities Create responsive markup for website so it can remain functional and show up well on ipad, phones and other mobile devicesUI implementation of new requirements for existing website. Work together with backend/fullstack developersUI bug fixing and enhancements Requirements 3 years of production experience. Candidates without such experience most likely will be rejected by the customerPortfolio (or links to websites) for customer's review before interviewing the candidateUX skills. Need person who can bring ideas how to improve user experience and make hardly usable page into a smooth oneFrond-End responsive design development background with CSS, HTML, JavaScriptExperience with Bootstrap, LESS, SASS, Grunt, Gulp, JQuery, Knockout, ES6Experience with animations and transformations using CSS and JavascriptBasic Photoshop experience - to be able to get fonts, colors, etc. from original PSD fileGood communication skills, fluent speaking English Experience with .NET is highly preferable, so the candidate can apply new design on existing data source We offer Insurance Coverage Paid Leaves – including maternity, bereavement, paternity, and special COVID-19 leaves. Financial assistance for medical crisis Retiral Benefits – VPF and NPS Customized Mindfulness and Wellness programs EPAM Hobby ClubsHybrid Work Model Soft loans to set up workspace at home Stable workload Relocation opportunities with ‘EPAM without Borders’ programCertification trainings for technical and soft skills Access to unlimited LinkedIn Learning platform Access to internal learning programs set up by world class trainers Community networking and idea creation platforms Mentorship programs Self-driven career progression tool This is a remote position and we welcome applications from anywhere in India Once you apply, you'll receive a confirmation email with a link to EPAM Anywhere platform. Sign up with this link to automate your prescreening, be able to monitor your application statuses, and enjoy a faster job application process. We accept CVs only in English. Please note that even though you are applying for this position, you may be offered other projects to join within EPAM Anywhere. EPAM Anywhere is a part of EPAM Systems, Inc. (NYSE: EPAM). Since 1993, EPAM has leveraged its advanced software engineering heritage to become the foremost global digital transformation services provider."
Senior Computer Vision Engineer (Algorithm Developer),Hybrid,"About the job About This Opportunity We are looking for an Algorithm Developer who will drive innovative development to advance the state of the art in 3D Reconstruction, Computer Graphics, Vision, and AI for our next generation iTero scanners. In this role, you will…Execute various cutting-edge research and algorithms challenges, proliferating knowledge, and breakthroughs within the company.Play a pivotal role in determining our algorithmics approach, and the performance outcomes.Develop large-scale technical implementation of advanced algorithms, Machine Learning, and other, within the companyWork with all stakeholders to identify future challenges and possible solutions.Take part in all phases of the algorithm’s development cycle.Identify risks and propose solutions in algorithms designs.Consistently demonstrate innovative thinking and strong partnership.Observe evolving trends, lead the generation and evaluation of innovative technologies and concepts.In this role, you’ll need …PhD. or similar degree in Computer Science/Electrical Engineering/Physics or related fieldStrong mathematical background5+ years developing algorithms in at least one of: Numerical analysis, geometry processing, Computer vision, 3D reconstructionNice to have experience in one or more of the following fields: image processing, AI, 3D modeling, ML, rendering, SfM3+ years with practical hands-on experience in developing and researching algorithmsStrong publication record (papers / patents / reports).Solid programming skills - C/C++/Python or similar.Exceptional interpersonal and communication skills.Fluency in English, spoken and written.Sound like a good fit?"
Senior JavaScript Engineer,Remote,"About the job We would be happy to consider your applications if you are willing to join EPAM Anywhere by 15 March 2023 inclusively. Applications with later onboarding dates will not be considered. We are looking for the candidates with 4+ years of experience. Are you a tech professional looking for remote work in a global setting? If yes, this job is for you. Welcome to EPAM Anywhere - a global job platform offering remote work opportunities in the technology sector. Join us to build a career around your lifestyle working on modern projects for global brands and exciting startups. Currently we are looking for a remote Senior JavaScript Engineer (React). As a Senior JavaScript Engineer, you will live on the front lines of the products we create, and build features used by millions of people every day. Our customer is a leading science and technology company delivering life-transforming medicines for serious diseases. EPAM develops solutions for genetically modified mice factories. EPAM helps scientists to get biological materials quicker and make investigations faster without long distraction for storing, transferring, and searching necessary data. Requirements 3+ years of practical experience in Front-End development (JavaScript, HTML5, CSS3)Experience with React library and React ecosystemGood communication and presentation skillsGood spoken and written English level Nice to have JavaScript, ECMAScript 2017+React, ReduxHTML5, CSS3 We offer Insurance Coverage Paid Leaves – including maternity, bereavement, paternity, and special COVID-19 leaves. Financial assistance for medical crisis Retiral Benefits – VPF and NPS Customized Mindfulness and Wellness programs EPAM Hobby ClubsHybrid Work Model Soft loans to set up workspace at home Stable workload Relocation opportunities with ‘EPAM without Borders’ programCertification trainings for technical and soft skills Access to unlimited LinkedIn Learning platform Access to internal learning programs set up by world class trainers Community networking and idea creation platforms Mentorship programs Self-driven career progression tool This is a remote position and we welcome applications from anywhere in India Once you apply, you'll receive a confirmation email with a link to EPAM Anywhere platform. Sign up with this link to automate your prescreening, be able to monitor your application statuses, and enjoy a faster job application process. We accept CVs only in English. Please note that even though you are applying for this position, you may be offered other projects to join within EPAM Anywhere. EPAM Anywhere is a part of EPAM Systems, Inc. (NYSE: EPAM). Since 1993, EPAM has leveraged its advanced software engineering heritage to become the foremost global digital transformation services provider."
Senior Automation Tester,Remote,"About the job We would be happy to consider your applications if you are willing to join EPAM Anywhere by 15 March 2023 inclusively. Applications with later onboarding dates will not be considered. We are looking for the candidates with 4+ years of experience. Are you a tech professional looking for remote work in a global setting? If yes, this job is for you. Welcome to EPAM Anywhere - a global job platform offering remote work opportunities in the technology sector. Join us to build a career around your lifestyle working on modern projects for global brands and exciting startups. Currently, we are looking for a Remote Senior Automation Tester in Python to join our team. The customer is one of the world’s leading broadband, communication, and converged video companies, with operations in six European countries. Responsibilities Build and maintain a scalable test automation framework for critical video streaming infrastructure.- Extend integration interfaces of test and/or development environments and software under test.- Build and deliver a testing setup, enabling different teams to scale up the Video Headend infrastructure efficiently with focus on remote accessibility, scalability, robustness, and reliability.- Support Video Headend team in delivering services to stakeholders by automating the environments and activities wherever possible.- Translate “Labs as a Service” philosophy into a technical solution with a focus on convenience for customer with long-term vision in mind.- Keep the solution up to date with industry best practices around methodologies and technologies to advise QA and integration teams on tools choice. Support in onboarding new tooling and integration in existing ecosystems.- Implement QA within the project- Work with Video Headend requirements to cover the main functionality- Proactive work within the test automation team to achieve the represented goals Requirements 3+ years of Automated Testing in Python experienceStrong background in testing disciplinePractical experience in setting up CI/CD pipeline, experience with Jenkins as a code approach, DSL jobs construction on GroovySolid technical background with Python, HTTP requestsSolid UNIX/Linux user experience Experience with Git and BitbucketSolid background in using Remote Development with PyCharm using docker and vagrantSolid knowledge of SDLC and STLCTeam player in a cross-functional team, good communicator, driven and committed English of Intermediate level and higher Understanding of Agile methodologies, namely SCRUM approachSolid estimations techniques Nice to have Experience in the video domain Experience with test/dev infrastructure support Basic Networking experience We offer Insurance Coverage Paid Leaves – including maternity, bereavement, paternity, and special COVID-19 leaves. Financial assistance for medical crisis Retiral Benefits – VPF and NPS Customized Mindfulness and Wellness programs EPAM Hobby ClubsHybrid Work Model Soft loans to set up workspace at home Stable workload Relocation opportunities with ‘EPAM without Borders’ programCertification trainings for technical and soft skills Access to unlimited LinkedIn Learning platform Access to internal learning programs set up by world class trainers Community networking and idea creation platforms Mentorship programs Self-driven career progression tool This is a remote position and we welcome applications from anywhere in India Once you apply, you'll receive a confirmation email with a link to EPAM Anywhere platform. Sign up with this link to automate your prescreening, be able to monitor your application statuses, and enjoy a faster job application process. We accept CVs only in English. Please note that even though you are applying for this position, you may be offered other projects to join within EPAM Anywhere. EPAM Anywhere is a part of EPAM Systems, Inc. (NYSE: EPAM). Since 1993, EPAM has leveraged its advanced software engineering heritage to become the foremost global digital transformation services provider."
Lead Development Engineer,On-site,"About the job NEW OPPORTUNITY || PERMANENT ROLE ADAS AND AD DEV ENGINEER AND LEAD !!! Required Immediate to 30 days joiners only.Position Title: ADAS and AD DEV engineer and LeadLocation: BangalorePosition Type: Full time Required Experience We are looking for bright and passionate engineers, senior engineers, and leads who are familiar with automotive development and testing in the areas listed below: · C /C++/ embedded C SW design, development and testing · Operating System - Linux/ QNX/ SYSBIOS/ Vxworks/ Integrity/ ROS, any other POSIX RTOS · Platforms - TI/ NVIDIA/ Renesas/ NXP/ Intel/ equivalent · Sensors - camera/ RADAR/ LiDAR/ GPS/ IMU and other associated sensors desirable · Experience in MATLAB Simulink, TargetLink, Stateflow based development Experience on BSP porting, bootloaders customization and board bring-up · Experience in Automotive development and testing tools · Experience in leading and mentoring teams in automotive domain · Experience in handling customer interactions · Excellent communication skills desirable"
